month_id;month;quarter_id
20201;2020-January;201
20202;2020-February;201
20203;2020-March;201
20204;2020-April;202
20205;2020-May;202
20206;2020-June;202
20207;2020-July;203
20208;2020-August;203
20209;2020-September;203
202010;2020-October;204
202011;2020-November;204
202012;2020-December;204
20211;2021-January;211
20212;2021-February;211
20213;2021-March;211
20214;2021-April;212
20215;2021-May;212
20216;2021-June;212
20217;2021-July;213
20218;2021-August;213
20219;2021-September;213
202110;2021-October;214
202111;2021-November;214
202112;2021-December;214
20221;2022-January;221
20222;2022-February;221
20223;2022-March;221
20224;2022-April;222
20225;2022-May;222
20226;2022-June;222
20227;2022-July;223
20228;2022-August;223
20229;2022-September;223
202210;2022-October;224
202211;2022-November;224
202212;2022-December;224
20231;2023-January;231
20232;2023-February;231
20233;2023-March;231
20234;2023-April;232
20235;2023-May;232
