ticker;company;listing_date;industry_id
AGII;Samator Indo Gas;2016-09-28;B11
AKRA;AKR Corporindo;1994-10-03;A11
AMRT;Sumber Alfaria Trijaya;2009-01-15;D11
ANTM;Aneka Tambang;1997-11-27;B14
APLN;Agung Podomoro Land;2010-11-11;H11
ARTO;Bank Jago;2016-01-12;G11
ASGR;Astra Graphia;1989-11-15;C22
ASII;Astra International;1990-04-04;C31
AUTO;Astra Otoparts;1998-06-15;E11
BAYU;Bayu Buana;1989-10-30;E51
BBCA;Bank Central Asia;2000-05-31;G11
BBHI;Allo Bank Indonesia;2015-08-12;G11
BBLD;Buana Finance;1990-05-07;G21
BBRI;Bank Rakyat Indonesia;2003-11-10;G11
BBYB;Bank Neo Commerce;2015-01-13;G11
BFIN;BFI Finance Indonesia;1990-05-16;G21
BMRI;Bank Mandiri;2003-07-14;G11
BNGA;Bank CIMB Niaga;1989-11-29;G11
BNLI;Bank Permata;1990-01-15;G11
BSDE;Bumi Serpong Damai;2008-06-06;G11
BTPN;Bank BTPN;2008-03-12;G11
BTPS;Bank BTPN Syariah;2018-05-08;G11
DNET;Indoritel Makmur Internasional;2000-12-11;G51
DVLA;Darya-Varia Laboratoria;1994-11-11;F21
ELSA;Elnusa;2008-02-06;A13
EPMT;Enseval Putera Megatrading;1994-08-01;D11
ERAA;Erajaya Swasembada;2011-12-14;E74
EXCL;XL Axiata;2005-09-29;J32
FAST;Fast Food Indonesia;1993-05-11;E51
FILM;MD Pictures;2018-08-07;E62
HMSP;HM Sampoerna;1990-08-15;D31
ICBP;Indofood CBP Sukses Makmur;2010-10-07;D22
IMJS;Indomobil Multi Jasa;2013-12-10;K13
INAF;Indofarma;2001-04-17;F21
INCO;Vale Indonesia;1990-05-16;B14
INDF;Indofood Sukses Makmur;1994-07-14;D22
INDY;Indika Energy;2008-06-11;A12
INTP;Indocement Tunggal Prakarsa;1989-12-05;B12
ISAT;Indosat;1994-10-19;J32
ITIC;Indonesian Tobacco;2019-07-04;D31
KAEF;Kimia Farma;2001-07-04;F21
KINO;Kino Indonesia;2015-12-11;D42
KLBF;Kalbe Farma;1991-07-30;F21
KRAS;Krakatau Steel;2010-11-10;B14
LIFE;Asuransi Jiwa Sinarmas MSIG;2019-07-09;G41
LPCK;Lippo Cikarang;1997-07-24;H11
MAPA;MAP Aktif Adiperkasa;2018-07-05;E74
MRAT;Mustika Ratu;1995-07-27;D42
MSIN;MNC Digital Entertainment;2018-06-08;E62
MSKY;MNC Sky Vision;2012-07-09;E62
MTDL;Metrodata Electronics;1990-04-09;I22
MYOR;Mayora Indah;1990-07-04;D22
NFCX;NFC Indonesia;2018-07-12;I11
NISP;Bank OCBC NISP;1994-10-20;G11
PANS;Panin Sekuritas;2000-05-31;G31
PEHA;Phapros;2018-12-26;F21
PLIN;Plaza Indonesia Realty;1992-06-15;H11
PNIN;Paninvest;1983-09-20;G41
PNLF;Panin Financial;1983-06-14;G41
PRDA;Prodia Widyahusada;2016-12-07;F12
PTRO;Petrosea;1990-05-21;A13
PZZA;Sarimelati Kencana;2018-05-23;E51
RANC;Supra Boga Lestari;2012-06-07;D11
RELI;Reliance Sekuritas Indonesia;2005-07-13;G31
ROTI;Nippon Indosari Corpindo;2010-06-28;D22
SCMA;Surya Citra Media;2002-07-16;E61
SGRO;Sampoerna Agro;2007-06-18;D23
SIDO;Industri Jamu dan Farmasi Sido Muncul;2013-12-18;F21
SIMP;Salim Ivomas Pratama;2011-06-09;D23
SMBR;Semen Baturaja;2013-06-28;B12
SMGR;Semen Indonesia;1991-07-08;B12
SMRA;Summarecon Agung;1990-05-07;H11
SONA;Sona Topas Tourism Industry;1992-07-21;E73
STTP;Siantar Top;1996-12-16;D22
TLKM;Telkom Indonesia;1995-11-14;J31
TRIM;Trimegah Sekuritas Indonesia;2000-01-31;G31
TSPC;Tempo Scan Pacific;1994-06-17;F21
UNTR;United Tractors;1989-09-19;C14
UNVR;Unilever Indonesia;1982-01-11;D42
WSKT;Waskita Karya;2012-12-19;J21
